title,job_title,company,location,description,requirements,experience,salary_min,salary_max,salary_text,job_type,link,apply_link,source,platform,posted_date,keywords_matched,ats_score,role,target_level,score,profile_role,experience_match,location_match,role_keyword_hits
Machine Learning Research Intern - Intern / Entry Role,,Machine Labs Pvt Ltd,India,"Hiring for machine learning research intern. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,,,,,https://example.com/jobs/machine-learning-research-intern/3,"=HYPERLINK(""https://example.com/jobs/machine-learning-research-intern/3"", ""Apply"")",Fallback,Synthetic,,,,research_intern,internship,3.4,research_intern,True,True,
Research Internship - Intern / Entry Role,,Research Labs Pvt Ltd,India,"Hiring for research internship. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,,,,,https://example.com/jobs/research-internship/1,"=HYPERLINK(""https://example.com/jobs/research-internship/1"", ""Apply"")",Fallback,Synthetic,,,,research_intern,internship,3.4,research_intern,True,True,
R&D Internship - Intern / Entry Role,,R&D Labs Pvt Ltd,India,"Hiring for R&D internship. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,,,,,https://example.com/jobs/r&d-internship/2,"=HYPERLINK(""https://example.com/jobs/r&d-internship/2"", ""Apply"")",Fallback,Synthetic,,,,research_intern,internship,3.4,research_intern,True,True,
Research Intern - Intern / Entry Role,,Research Labs Pvt Ltd,India,"Hiring for research intern. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,,,,,https://example.com/jobs/research-intern/1,"=HYPERLINK(""https://example.com/jobs/research-intern/1"", ""Apply"")",Fallback,Synthetic,,,,research_intern,internship,3.1,research_intern,True,True,
R&D Intern - Intern / Entry Role,,R&D Labs Pvt Ltd,India,"Hiring for R&D intern. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,,,,,https://example.com/jobs/r&d-intern/2,"=HYPERLINK(""https://example.com/jobs/r&d-intern/2"", ""Apply"")",Fallback,Synthetic,,,,research_intern,internship,2.3,research_intern,True,True,
Software Developer Intern - Intern / Entry Role,Software Developer Intern - Intern / Entry Role,Software Labs Pvt Ltd,India,"Hiring for software developer intern. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,0.0,0.0,,Job,https://example.com/jobs/software-developer-intern/1,"=HYPERLINK(""https://example.com/jobs/software-developer-intern/1"", ""Apply"")",Fallback,Synthetic,,[],0.0,software_developer_intern,internship,2.0,software_developer_intern,True,True,
Software Engineering Internship - Intern / Entry Role,Software Engineering Internship - Intern / Entry Role,Software Labs Pvt Ltd,India,"Hiring for software engineering internship. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,0.0,0.0,,Job,https://example.com/jobs/software-engineering-internship/2,"=HYPERLINK(""https://example.com/jobs/software-engineering-internship/2"", ""Apply"")",Fallback,Synthetic,,[],0.0,software_developer_intern,internship,2.0,software_developer_intern,True,True,
Software Development Internship - Intern / Entry Role,Software Development Internship - Intern / Entry Role,Software Labs Pvt Ltd,India,"Hiring for software development internship. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,0.0,0.0,,Job,https://example.com/jobs/software-development-internship/1,"=HYPERLINK(""https://example.com/jobs/software-development-internship/1"", ""Apply"")",Fallback,Synthetic,,[],0.0,software_developer_intern,internship,2.0,software_developer_intern,True,True,
Coding Internship - Intern / Entry Role,Coding Internship - Intern / Entry Role,Coding Labs Pvt Ltd,India,"Hiring for coding internship. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,0.0,0.0,,Job,https://example.com/jobs/coding-internship/2,"=HYPERLINK(""https://example.com/jobs/coding-internship/2"", ""Apply"")",Fallback,Synthetic,,[],0.0,software_developer_intern,internship,2.0,software_developer_intern,True,True,
Developer Intern - Intern / Entry Role,Developer Intern - Intern / Entry Role,Developer Labs Pvt Ltd,India,"Hiring for developer intern. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,0.0,0.0,,Job,https://example.com/jobs/developer-intern/3,"=HYPERLINK(""https://example.com/jobs/developer-intern/3"", ""Apply"")",Fallback,Synthetic,,[],0.0,software_developer_intern,internship,0.5,software_developer_intern,True,True,
Coding Intern - Intern / Entry Role,Coding Intern - Intern / Entry Role,Coding Labs Pvt Ltd,India,"Hiring for coding intern. This role is suitable for CSE students and freshers interested in hands-on development, data analytics, or research.","SQL, Python, Linux, communication, teamwork.",0-1 years,0.0,0.0,,Job,https://example.com/jobs/coding-intern/2,"=HYPERLINK(""https://example.com/jobs/coding-intern/2"", ""Apply"")",Fallback,Synthetic,,[],0.0,software_developer_intern,internship,0.5,software_developer_intern,True,True,
